etf,roic_symbol,company_name,weight_normalized,exchange,country,mapping_status,fundamental_currency,price_currency,fiscal_year,fiscal_year_end,price_date,price,net_income,minority_interest,preferred_dividends,earnings_for_common,diluted_shares,diluted_eps,equity_total,minority_equity,preferred_equity,common_equity,common_equity_prior,common_equity_average,dividends_paid,buybacks_gross,share_issuance,buybacks_net,dividend_adjustment,buyback_adjustment,dividends_final,buybacks_final,dividend_per_share,buyback_gross_per_share,buyback_net_per_share,roe,roe_method,earnings_yield,dividend_yield,gross_buyback_yield,net_buyback_yield,gross_shareholder_yield,net_shareholder_yield,quality,tags,notes
SCHY,ASX:RIO,Rio Tinto Ltd,2.8102668249759617,ASX,AU,manual,GBP,AUD,2025,2025-12-31,2026-07-24,,7396366560,-210031280,,7396366560,1317928816.4311223,5.612113846959465,49742531840,3577953360,,42586625120,41973800430,42280212775.0,4560573200,,,,0.0,0.0,4560573200,,3.460409350749138,,,,average_common_equity,,,,,,,BLOCKER,MISSING_BUYBACK;CURRENCY_MISMATCH;CURRENCY_MISMATCH,
SCHY,LSE:VOD,Vodafone Group PLC,2.193574621424309,LSE,GB,mapped,GBP,GBX,2026,2026-03-31,2026-07-24,1.146,-347001220.6681309,-304172354.641082,,-347001220.6681309,24033000000,-0.014438531214086085,47518189827.76558,3261986285.9785,,40994217255.80858,43199712909.858246,42096965082.83341,955345929.9502949,1783953378.8001387,1748116.9806958735,1782205261.8194427,0.0,0.0,955345929.9502949,1783953378.8001387,0.03975142220905816,0.07422932546083047,0.07415658726831618,-0.008242903496376592,average_common_equity,-0.01259906737703847,0.03468710489446611,0.06477253530613479,0.06470906393395828,0.0994596402006009,0.09939616882842439,OK,NEGATIVE_EARNINGS;PRICE_UNIT_CONVERTED,
SCHY,XETR:ALV,Allianz SE,2.107268865665107,XETR,DE,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,427.1,10775000000,-655000000,,10775000000,382958691,28.13619393742914,66349000000,3627000000,,59095000000,56498000000,57796500000.0,6387000000,3062000000,1073000000,1989000000,0.0,0.0,6387000000,3062000000,16.678039042075167,7.995640448854574,5.1937716697491005,0.18642997413338178,average_common_equity,0.06587729791015955,0.03904949436215211,0.018720769020965988,0.012160551790562165,0.057770263383118095,0.051210046152714274,OK,,
SCHY,HEL:KNEBV,Kone Oyj,2.0567349141260483,HEL,FI,manual,EUR,EUR,2025,2025-12-31,2026-07-24,48.9,980100000,-11900000,,980100000,519087000,1.8881228002242398,2826700000,29400000,,2767900000,2840400000,2804150000.0,931900000,,,,0.0,0.0,931900000,,1.7952674599826233,,,0.34951767915411086,average_common_equity,0.03861191820499468,0.036713035991464686,,,0.036713035991464686,0.036713035991464686,OK,MISSING_BUYBACK,
SCHY,TADAWUL:7010,Saudi Telecom Co,1.5956228149116538,TADAWUL,SA,manual,SAR,SAR,2025,2025-12-31,2026-07-26,43.1,14828030000,-306915000,,14828030000,5000000000,2.965606,86386340000,2972769000,,80440802000,86348037000,83394419500.0,20954565000,,,,0.0,0.0,20954565000,,4.190913,,,0.17780602214036637,average_common_equity,0.06880756380510442,0.09723696055684454,,,0.09723696055684454,0.09723696055684454,OK,MISSING_BUYBACK,
SCHY,SIX:SGSN,SGS SA,1.4264410134973016,SIX,CH,mapped,CHF,CHF,2025,2025-12-31,2026-07-24,93.38,668000000,-49000000,,668000000,193000000,3.461139896373057,995000000,94000000,,807000000,717000000,762000000.0,222000000,100000000,,100000000,0.0,0.0,222000000,100000000,1.150259067357513,0.5181347150259067,0.5181347150259067,0.8766404199475065,average_common_equity,0.037065109192258056,0.01231804527048097,0.005548669040757194,0.005548669040757194,0.017866714311238166,0.017866714311238166,OK,,
SCHY,SIX:ZURN,Zurich Insurance Group AG,1.382272553784764,SIX,CH,mapped,CHF,CHF,2025,2025-12-31,2026-07-24,623,5386599240,-319329140,,5386599240,144017586,37.40237140205919,23902935080,1308219380,,21286496320,21777523019.999996,21532009670.0,4026875160,,,,0.0,0.0,4026875160,,27.960996096685026,,,0.25016704536897044,average_common_equity,0.060035909152582966,0.044881213638338725,,,0.044881213638338725,0.044881213638338725,OK,MISSING_BUYBACK,
SCHY,TSE:2914,Japan Tobacco Inc,1.3170891671722258,TSE,JP,manual,JPY,JPY,2025,2025-12-31,2026-07-27,6531,510175000000,-3039000000,,510175000000,1775597000,287.3258965857681,4115389000000,28456000000,,4058477000000,3684519000000,3871498000000.0,356853000000,1622000000,,1622000000,0.0,0.0,356853000000,1622000000,200.9763476734867,0.9134955736014422,0.9134955736014422,0.13177715705910217,average_common_equity,0.04399416576110367,0.03077267610985863,0.0001398707048846183,0.0001398707048846183,0.03091254681474325,0.03091254681474325,OK,,
SCHY,NSE:POWERGRID,Power Grid Corp of India Ltd,1.2445684829970745,NSE,IN,mapped,INR,INR,2026,2026-03-31,2026-07-24,288.2,159279500000,,,159279500000,9300603819,17.12571603949105,1004940300000,,,1004940300000,926628100000,965784200000.0,83705500000,,,,0.0,0.0,83705500000,,9.00000705642357,,,0.16492245369100053,average_common_equity,0.05942302581364001,0.03122833815552939,,,0.03122833815552939,0.03122833815552939,OK,MISSING_BUYBACK,
SCHY,HKEX:939,China Construction Bank Corp,1.2262405858097623,HKEX,CN,manual,CNY,HKD,2025,2025-12-31,2026-07-27,,338906000000,-884000000,,338906000000,353921282398.47,0.9575745140368115,3686077000000,22666000000,59977000000,3580768000000,3240312000000,3410540000000.0,139274000000,,,,0.0,0.0,139274000000,,0.3935168833480755,,,,average_common_equity,,,,,,,BLOCKER,MISSING_BUYBACK;CURRENCY_MISMATCH;CURRENCY_MISMATCH,
SCHY,LSE:IMB,Imperial Brands PLC,1.1945280685588557,LSE,GB,manual,GBP,GBX,2025,2025-09-30,2026-07-24,28.23,2071000000,-149000000,,2071000000,830600000,2.4933782807608957,5432000000,608000000,,4216000000,4855000000,4535500000.0,1558000000,1235000000,,1235000000,0.0,0.0,1558000000,1235000000,1.8757524680953528,1.4868769564170479,1.4868769564170479,0.45661999779517143,average_common_equity,0.0883237081388911,0.06644535841641348,0.05267010118374239,0.05267010118374239,0.11911545960015588,0.11911545960015588,OK,PRICE_UNIT_CONVERTED,
SCHY,NSE:HCLTECH,HCL Technologies Ltd,1.1288282309695137,NSE,IN,mapped,INR,INR,2026,2026-03-31,2026-07-24,1271,166420000000,-100000000,,166420000000,2712305611,61.357392516930496,751970000000,320000000,,751330000000,696370000000,723850000000.0,146180000000,7110000000,,7110000000,0.0,0.0,146180000000,7110000000,53.89510658649742,2.6213860160760474,2.6213860160760474,0.22990951163915177,average_common_equity,0.04827489576469748,0.04240370305782645,0.002062459493372185,0.002062459493372185,0.04446616255119864,0.04446616255119864,OK,,
SCHY,SGX:D05,DBS Group Holdings Ltd,1.0595093138945264,SGX,SG,manual,SGD,SGD,2025,2025-12-31,2026-07-27,74.38,10934000000,-1000000,,10934000000,2850000000,3.8364912280701753,68916000000,49000000,,68818000000,68739000000,68778500000.0,8151000000,397000000,,397000000,0.0,0.0,8151000000,397000000,2.86,0.1392982456140351,0.1392982456140351,0.15897409801027937,average_common_equity,0.05157960779873858,0.03845119655821457,0.0018727916861257744,0.0018727916861257744,0.040323988244340345,0.040323988244340345,OK,,
